,eventsource,eventsourcecode,ID,eventtime,Event Time,event_unix_time,Magnitude,Update Time,Evaluation Status,Magnitude Type,Latitude,Longitude,Title
0,ci,40039967,ci40039967,2022-06-14T14:58:53.300Z,6/14/22 14:58,1655218733,2.75,51:13.2,final,ml,33.7376667,-119.1521667,"31km NNW of Santa Barbara Is., CA"
0,nc,73780841,nc73780841,2022-09-12T16:12:35.900Z,9/12/22 16:12,1662999155,2.74,13:36.1,final,md,39.6043333,-120.3996667,"16km WSW of Loyalton, CA"
0,nc,73728246,nc73728246,2022-05-02T15:18:21.070Z,5/2/22 15:18,1651504701,2.74,12:35.8,final,md,41.1365,-123.7021667,"6km S of Weitchpec, CA"
0,nc,73723705,nc73723705,2022-04-26T13:51:05.160Z,4/26/22 13:51,1650981065,2.74,54:35.6,final,md,39.3263333,-120.142,"4km E of Truckee, CA"
0,nc,73723210,nc73723210,2022-04-25T15:23:20.820Z,4/25/22 15:23,1650900200,2.74,49:42.3,final,md,38.8328333,-122.8798333,"12km ENE of Cloverdale, CA"
0,nc,73719250,nc73719250,2022-04-18T02:17:52.830Z,4/18/22 2:17,1650248272,2.74,28:27.5,final,md,38.8043333,-122.8221667,"6km WNW of The Geysers, CA"
0,ci,40187488,ci40187488,2022-02-16T17:18:21.670Z,2/16/22 17:18,1645031901,2.74,47:12.9,final,ml,34.4116667,-119.1371667,"10km NW of Santa Paula, CA"
0,ci,40100063,ci40100063,2022-09-14T04:14:30.280Z,9/14/22 4:14,1663128870,2.74,08:02.5,final,ml,36.043,-117.376,"31km N of Searles Valley, CA"
0,nc,73775750,nc73775750,2022-09-05T13:40:09.430Z,9/5/22 13:40,1662385209,2.73,55:49.1,final,md,40.0238333,-123.7751667,"12km SSE of Redway, CA"
0,nc,73772835,nc73772835,2022-08-28T20:49:47.640Z,8/28/22 20:49,1661719787,2.73,31:20.5,final,md,35.806,-121.3868333,"25km NW of San Simeon, CA"
0,nc,73748171,nc73748171,2022-06-20T15:39:46.740Z,6/20/22 15:39,1655739586,2.73,58:19.3,final,ml,37.6321667,-118.8851667,"8km E of Mammoth Lakes, CA"
0,nc,73726051,nc73726051,2022-04-29T04:43:08.420Z,4/29/22 4:43,1651207388,2.73,12:28.7,final,md,36.5725,-121.12,"5km NNE of Pinnacles, CA"
0,nc,73723030,nc73723030,2022-04-25T06:18:32.570Z,4/25/22 6:18,1650867512,2.73,37:19.1,final,md,40.569,-124.334,"6km W of Ferndale, CA"
0,nc,73713976,nc73713976,2022-04-04T02:42:54.140Z,4/4/22 2:42,1649040174,2.73,40:47.6,final,md,36.6421667,-121.2656667,"16km NW of Pinnacles, CA"
0,nc,73713306,nc73713306,2022-04-02T08:55:50.130Z,4/2/22 8:55,1648889750,2.73,47:56.9,final,md,38.6265,-119.828,"8km SSW of Markleeville, CA"
0,nc,73703361,nc73703361,2022-03-09T17:54:47.110Z,3/9/22 17:54,1646848487,2.73,46:07.4,final,md,40.3945,-124.2781667,"8km N of Petrolia, CA"
0,nc,73689771,nc73689771,2022-02-07T16:38:53.850Z,2/7/22 16:38,1644251933,2.73,53:54.0,final,md,37.2921667,-121.6636667,"16km E of Seven Trees, CA"
0,ci,40289408,ci40289408,2022-06-23T00:20:24.790Z,6/23/22 0:20,1655943624,2.73,48:52.3,final,ml,33.3865,-116.4385,"16km NNW of Borrego Springs, CA"
0,ci,40241024,ci40241024,2022-04-19T13:48:06.150Z,4/19/22 13:48,1650376086,2.73,51:49.2,final,ml,35.9438333,-117.6761667,"21km E of Little Lake, CA"
0,ci,40180600,ci40180600,2022-02-09T04:05:51.690Z,2/9/22 4:05,1644379551,2.73,14:09.0,final,ml,36.1376667,-118.4408333,"42km WSW of Olancha, CA"
0,ci,40017247,ci40017247,2022-05-13T05:11:38.470Z,5/13/22 5:11,1652418698,2.73,10:11.9,final,ml,36.2231667,-117.8825,"13km ESE of Olancha, CA"
0,nc,73756806,nc73756806,2022-07-09T18:58:37.170Z,7/9/22 18:58,1657393117,2.72,21:40.1,final,md,37.4141667,-118.6045,"1km W of Round Valley, CA"
0,nc,73741131,nc73741131,2022-06-07T09:48:58.180Z,6/7/22 9:48,1654595338,2.72,43:03.2,final,md,40.2996667,-124.502,"19km W of Petrolia, CA"
0,nc,73737211,nc73737211,2022-05-23T21:49:50.720Z,5/23/22 21:49,1653342590,2.72,20:49.4,final,md,39.79,-122.0033333,"5km N of Hamilton City, CA"
0,nc,73728211,nc73728211,2022-05-02T14:19:30.890Z,5/2/22 14:19,1651501170,2.72,07:05.0,final,md,40.5781667,-124.3295,"6km W of Ferndale, CA"
0,nc,73707026,nc73707026,2022-03-18T04:53:41.370Z,3/18/22 4:53,1647579221,2.72,17:29.4,final,md,38.5243333,-119.5358333,"5km WNW of Walker, CA"
0,nc,73679391,nc73679391,2022-01-16T23:21:24.900Z,1/16/22 23:21,1642375284,2.72,27:33.5,final,md,40.434,-124.7273333,"39km WNW of Petrolia, CA"
0,ci,40248736,ci40248736,2022-04-30T00:49:18.950Z,4/30/22 0:49,1651279758,2.72,51:45.0,final,ml,33.1548333,-119.0251667,"35km S of Santa Barbara Is., CA"
0,ci,40245048,ci40245048,2022-04-24T16:42:37.980Z,4/24/22 16:42,1650818557,2.72,23:49.9,final,ml,35.6421667,-117.4541667,"15km SSW of Searles Valley, CA"
0,nc,73765685,nc73765685,2022-08-08T22:37:42.970Z,8/8/22 22:37,1659998262,2.71,22:52.5,final,md,38.5865,-119.4508333,"8km NNE of Walker, CA"
0,nc,73764571,nc73764571,2022-07-31T05:57:41.530Z,7/31/22 5:57,1659247061,2.71,18:34.7,final,md,40.7031667,-122.2858333,"8km ENE of Shasta Lake, CA"
0,nc,73764030,nc73764030,2022-08-04T14:31:39.810Z,8/4/22 14:31,1659623499,2.71,45:22.2,final,md,40.4001667,-124.7468333,"40km WNW of Petrolia, CA"
0,nc,73734681,nc73734681,2022-05-16T16:24:43.590Z,5/16/22 16:24,1652718283,2.71,36:59.6,final,md,40.3835,-124.6603333,"32km WNW of Petrolia, CA"
0,nc,73726571,nc73726571,2022-04-30T18:18:21.940Z,4/30/22 18:18,1651342701,2.71,01:31.1,final,md,38.8136667,-122.8003333,"6km NW of The Geysers, CA"
0,nc,73713056,nc73713056,2022-04-01T14:04:29.480Z,4/1/22 14:04,1648821869,2.71,54:59.8,final,md,38.7486667,-122.7295,"4km SE of The Geysers, CA"
0,nc,73707656,nc73707656,2022-03-19T11:04:50.830Z,3/19/22 11:04,1647687890,2.71,49:33.2,final,md,38.5206667,-119.5305,"4km W of Walker, CA"
0,nc,73693441,nc73693441,2022-02-16T02:10:03.750Z,2/16/22 2:10,1644977403,2.71,44:52.2,final,md,40.6161667,-122.4296667,"6km ENE of Shasta, CA"
0,nc,73680281,nc73680281,2022-01-18T16:50:25.330Z,1/18/22 16:50,1642524625,2.71,03:31.7,final,md,40.3806667,-124.769,"42km W of Petrolia, CA"
0,nc,73676581,nc73676581,2022-01-10T16:48:25.320Z,1/10/22 16:48,1641833305,2.71,00:09.0,final,md,40.3688333,-124.7571667,"40km W of Petrolia, CA"
0,uw,61835187,uw61835187,2022-05-25T10:38:07.350Z,5/25/22 10:38,1653475087,2.7,47:45.2,final,ml,45.17016667,-122.6256667,"4 km WNW of Molalla, Oregon"
0,us,7000i7sx,us7000i7sx,2022-09-13T23:56:22.352Z,9/13/22 23:56,1663113382,2.7,00:34.0,confirmed,ml,43.0492,-127.8832,"278 km W of Port Orford, Oregon"
0,us,7000hkcw,us7000hkcw,2022-06-26T10:11:32.070Z,6/26/22 10:11,1656238292,2.7,03:40.0,reviewed,ml,40.8659,-127.35,"262 km W of Ferndale, California"
0,us,7000gfgl,us7000gfgl,2022-01-27T04:24:55.092Z,1/27/22 4:24,1643257495,2.7,19:09.0,reviewed,ml,42.4767,-126.3716,"156 km WSW of Port Orford, Oregon"
0,us,6000i8y3,us6000i8y3,2022-08-07T19:57:54.909Z,8/7/22 19:57,1659902274,2.7,18:56.0,reviewed,ml,42.2603,-126.8709,"202 km WSW of Port Orford, Oregon"
0,us,6000i80c,us6000i80c,2022-08-04T11:43:16.868Z,8/4/22 11:43,1659613396,2.7,50:32.0,reviewed,ml,45.0921,-116.5479,"24 km WNW of New Meadows, Idaho"
0,us,6000i7dj,us6000i7dj,2022-08-02T06:24:08.776Z,8/2/22 6:24,1659421448,2.7,49:50.0,reviewed,ml,40.3618,-127.2363,"253 km W of Ferndale, California"
0,us,6000h1zw,us6000h1zw,2022-03-04T07:57:56.835Z,3/4/22 7:57,1646380676,2.7,32:50.0,reviewed,ml,40.364,-125.8968,"140 km W of Ferndale, California"
0,us,6000h1nv,us6000h1nv,2022-03-03T08:21:10.141Z,3/3/22 8:21,1646295670,2.7,32:45.0,reviewed,ml,41.4716,-126.2991,"177 km W of Crescent City, California"
0,nn,846520,nn846520,2022-09-07T03:21:19.599Z,9/7/22 3:21,1662520879,2.7,01:27.0,reviewed,ml,38.1221,-118.0538,"30 km S of Mina, Nevada"
0,nn,845822,nn845822,2022-08-25T11:58:26.139Z,8/25/22 11:58,1661428706,2.7,14:44.8,reviewed,ml,41.1385,-116.7302,"50 km NE of Valmy, Nevada"
0,nn,843952,nn843952,2022-08-01T20:21:48.319Z,8/1/22 20:21,1659385308,2.7,17:35.2,reviewed,ml,40.1642,-119.6284,"23 km N of Sutcliffe, Nevada"
0,nn,842966,nn842966,2022-07-15T13:02:41.705Z,7/15/22 13:02,1657890161,2.7,37:19.0,reviewed,ml,38.1875,-118.1698,"23 km SSW of Mina, Nevada"
0,nn,839616,nn839616,2022-05-25T21:26:39.646Z,5/25/22 21:26,1653513999,2.7,40:19.0,reviewed,ml,38.2476,-118.3574,"26 km SW of Mina, Nevada"
0,nn,839442,nn839442,2022-05-24T12:12:48.925Z,5/24/22 12:12,1653394368,2.7,05:22.7,reviewed,ml,38.1671,-117.9031,"30 km SE of Mina, Nevada"
0,nn,838659,nn838659,2022-05-10T22:49:33.595Z,5/10/22 22:49,1652222973,2.7,39:19.5,reviewed,ml,39.5888,-116.7624,"28 km ENE of Austin, Nevada"
0,nn,837584,nn837584,2022-04-21T03:26:07.889Z,4/21/22 3:26,1650511567,2.7,12:57.9,reviewed,ml,38.1649,-117.8991,"31 km SE of Mina, Nevada"
0,nn,835935,nn835935,2022-03-24T14:53:24.687Z,3/24/22 14:53,1648133604,2.7,39:38.5,reviewed,ml,41.9645,-119.5887,"48 km ENE of Fort Bidwell, California"
0,nn,834080,nn834080,2022-02-18T05:32:12.402Z,2/18/22 5:32,1645162332,2.7,10:29.5,reviewed,ml,38.1638,-117.9147,"30 km SE of Mina, Nevada"
0,nc,73773725,nc73773725,2022-08-31T02:45:13.540Z,8/31/22 2:45,1661913913,2.7,36:45.3,final,md,39.7498333,-121.8515,"2km NW of Chico, CA"
0,nc,73767930,nc73767930,2022-08-14T08:35:37.230Z,8/14/22 8:35,1660466137,2.7,46:14.6,final,md,40.3441667,-124.3655,"7km WNW of Petrolia, CA"
0,nc,73766710,nc73766710,2022-08-11T05:13:18.310Z,8/11/22 5:13,1660194798,2.7,07:00.9,final,md,40.483,-124.7926667,"46km WSW of Ferndale, CA"
0,nc,73765695,nc73765695,2022-08-08T23:36:42.970Z,8/8/22 23:36,1660001802,2.7,33:55.9,final,md,38.5756667,-119.4533333,"7km NNE of Walker, CA"
0,nc,73764870,nc73764870,2022-08-06T18:18:45.470Z,8/6/22 18:18,1659809925,2.7,34:12.7,final,md,36.7695,-121.28,"4km ESE of Tres Pinos, CA"
0,nc,73763836,nc73763836,2022-07-28T20:49:33.570Z,7/28/22 20:49,1659041373,2.7,56:15.8,final,md,40.4671667,-124.7866667,"45km WNW of Petrolia, CA"
0,nc,73744471,nc73744471,2022-06-12T18:28:44.590Z,6/12/22 18:28,1655058524,2.7,12:59.7,final,md,36.342,-120.9146667,"23km WSW of New Idria, CA"
0,nc,73685401,nc73685401,2022-01-29T14:21:02.100Z,1/29/22 14:21,1643466062,2.7,11:49.3,final,md,40.3178333,-124.6508333,"31km W of Petrolia, CA"
0,ci,40293664,ci40293664,2022-06-29T15:37:39.060Z,6/29/22 15:37,1656517059,2.7,51:15.6,final,ml,34.3358333,-119.2046667,"7km NNE of Ventura, CA"
0,ci,40254184,ci40254184,2022-05-07T12:16:22.990Z,5/7/22 12:16,1651925782,2.7,24:49.6,final,ml,35.5283333,-118.5115,"7km SSW of Bodfish, CA"
0,ci,40238472,ci40238472,2022-04-16T21:10:58.870Z,4/16/22 21:10,1650143458,2.7,47:31.7,final,ml,36.0411667,-117.576,"32km ENE of Little Lake, CA"
0,ci,40238416,ci40238416,2022-04-16T19:34:23.740Z,4/16/22 19:34,1650137663,2.7,21:12.7,final,ml,37.0725,-117.9308333,"33km ESE of Big Pine, CA"
0,ci,40024535,ci40024535,2022-05-23T10:32:50.250Z,5/23/22 10:32,1653301970,2.7,35:33.6,final,ml,34.4101667,-119.4113333,"10km E of Carpinteria, CA"
